"objectId","createdAt","updatedAt","userId","activityType","coinChangeAmt","rewardId","pointRewardId","rewardDescription","rewardLongDescription","rewardTotalCountAfterAction","vendorId"
"kx0OdL6Urx","03/15/2013 18:52:51","03/15/2013 18:52:51","tbv2d5VG8f","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","1","KePt2apWWd"
"YaucdUmbSR","03/15/2013 18:52:54","03/15/2013 18:52:54","tbv2d5VG8f","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","1","KePt2apWWd"
"vN5C0JyshQ","03/15/2013 18:55:39","03/15/2013 18:57:06","rkKN6Th4A1","Scanned Reward","1","8a8GCIn3F8","","Free cold dish","Receive a free cold dish after dining here 3 times","1","54Q65pu2KK"
"AR0rm45US2","03/15/2013 18:57:06","03/15/2013 18:57:06","rkKN6Th4A1","Sign Up","10","","","","","",""
"TmeVgoP35x","03/15/2013 19:07:37","03/15/2013 19:07:37","FEdQNOS4Js","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","2","KePt2apWWd"
"fhOUcej4yS","03/15/2013 19:07:43","03/15/2013 19:07:43","j8PTWpujXy","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","3","KePt2apWWd"
"KrpKhyN97f","03/15/2013 19:07:49","03/15/2013 19:07:49","j8PTWpujXy","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","3","KePt2apWWd"
"ERHyJcVONZ","03/15/2013 19:08:40","03/15/2013 19:08:40","FEdQNOS4Js","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","2","KePt2apWWd"
"cik500VZQo","03/15/2013 19:08:48","03/15/2013 19:08:48","Vsj6TFQJWn","Redeemed Reward","","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","","KePt2apWWd"
"rFTdSwGKUG","03/15/2013 19:11:54","03/15/2013 19:11:54","2DpvnUuja4","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","1","KePt2apWWd"
"i6BAKNfdnZ","03/15/2013 19:43:34","03/15/2013 19:43:34","ltUhj0RfVg","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","1","KePt2apWWd"
"dGGU1mlpGc","03/15/2013 19:44:44","03/15/2013 19:44:44","gohB0E49bq","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","4","KePt2apWWd"
"xnjRYqYWP8","03/15/2013 19:44:55","03/15/2013 19:44:55","gohB0E49bq","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","4","KePt2apWWd"
